ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
930903.CSI,20240827,2595.4568,2612.7342,2612.7342,2590.8031,2620.1974,-24.7406,-0.9442,552671719.12,502001761.782
930903.CSI,20240828,2590.831,2589.3709,2601.7206,2584.2793,2595.4568,-4.6258,-0.1782,535891927.87,485089503.891
930903.CSI,20240829,2605.2038,2580.6501,2613.2362,2578.3595,2590.831,14.3728,0.5548,635410568.16,594952554.022
930903.CSI,20240830,2647.797,2603.2776,2676.2702,2603.2776,2605.2038,42.5932,1.6349,897574233.67,862762278.343
930903.CSI,20240902,2600.4872,2640.9554,2643.6035,2600.4872,2647.797,-47.3098,-1.7868,754404709.89,693855057.346
930903.CSI,20240903,2616.6104,2598.1801,2624.5693,2598.1801,2600.4872,16.1232,0.62,623618769.41,568158972.19
930903.CSI,20240904,2601.2129,2600.3421,2621.1093,2596.6287,2616.6104,-15.3975,-0.5885,591285832.74,545239413.804
930903.CSI,20240905,2612.7405,2602.2234,2622.4363,2602.2107,2601.2129,11.5276,0.4432,570732317.26,524055677.577
930903.CSI,20240906,2581.1291,2614.9576,2619.1173,2580.8074,2612.7405,-31.6114,-1.2099,591878835.42,529959598.498
930903.CSI,20240909,2558.9134,2568.9307,2575.3575,2548.5034,2581.1291,-22.2157,-0.8607,570629618.73,508194269.359
930903.CSI,20240910,2563.835,2560.159,2572.4978,2531.931,2558.9134,4.9216,0.1923,590564005.74,517831047.892
930903.CSI,20240911,2557.5337,2554.9713,2566.8505,2547.2237,2563.835,-6.3013,-0.2458,537860024.02,490732321.892
930903.CSI,20240912,2548.2048,2560.0073,2576.7736,2548.0311,2557.5337,-9.3289,-0.3648,558213109.05,505466452.047
930903.CSI,20240913,2528.618,2549.5612,2556.0414,2528.618,2548.2048,-19.5868,-0.7687,581486451.04,515140222.108
930903.CSI,20240918,2530.3456,2528.2115,2538.0558,2503.8007,2528.618,1.7276,0.0683,564803618.53,471416962.594
930903.CSI,20240919,2562.9975,2538.3649,2579.199,2519.5088,2530.3456,32.6519,1.2904,709690351.74,617808993.813
930903.CSI,20240920,2560.8356,2561.0921,2564.8742,2543.096,2562.9975,-2.1619,-0.0844,649352631.41,564889817.402
